,,PROGRESSIVO,,,,,,,,,,AGOSTO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
EBITDA,,-21.178 ,,-9%,-148.217 ,,-340%,127.039 ,"-85,7%",,,-21.116 ,,-1909%,-4.024 ,,-35%,-17.093 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Ammortamenti immateriali,,34.520 ,,"14,9%",5.648 ,,,28.872 ,"511,2%",,,4.409 ,,,719 ,,,3.690 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti immateriali,Ammortamenti e svalutazioni
Ammortamenti materiali,,571 ,,"0,2%",285 ,,,286 ,"100,7%",,,73 ,,,36 ,,,37 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti materiali,Ammortamenti e svalutazioni
Svalutazioni e accantonamenti,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Svalutazioni e accantonamenti,Ammortamenti e svalutazioni
"AMMORTAMENTI, ACCANT. SVALUTAZIONI",,35.091 ,,"15,2%",5.933 ,,,29.158 ,"491,5%",,,4.482 ,,405%,756 ,,7%,3.727 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Plusvalenze e minusvalenze straordinarie,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Plusvalenze e minusvalenze straordinarie,Gestione straordinaria
Altri proventi/costi straordinari,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri proventi/costi straordinari,Gestione straordinaria
GESTIONE STRAORDINARIA,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,0%,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBIT,,-56.268 ,,-24%,-154.150 ,,-353%,97.881 ,"-63,5%",,,-25.598 ,,-2314%,-4.779 ,,-41%,-20.819 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Spese e commissioni bancarie,,257 ,,"0,1%",334 ,,,-77 ,"-23,1%",,,62 ,,,61 ,,,1 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese e commissioni bancarie,Gestione finanziaria
Interessi passivi su mutui,,1.170 ,,"0,5%",1.526 ,,,-356 ,"-23,3%",,,126 ,,,235 ,,,-109 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Interessi passivi su mutui,Gestione finanziaria
Altri interessi,,176 ,,"0,1%",636 ,,,-460 ,"-72,3%",,,0 ,,,1 ,,,-1 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri interessi,Gestione finanziaria
GESTIONE FINANZIARIA,,1.603 ,,"0,7%",2.496 ,,6%,-893 ,"-35,8%",,,188 ,,17%,297 ,,3%,-109 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBT,,-57.871 ,,"-25,0%",-156.646 ,,-359%,98.775 ,"-63,1%",,,-25.787 ,,-2331%,-5.076 ,,-44%,-20.710 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Imposte dirette,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,0%,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,n/a,,,Imposte dirette,Imposte
RISULTATO DELL'ESERCIZIO,,-57.871 ,,-25%,-156.646 ,,-359%,98.775 ,,,,-25.787 ,,-2331%,-5.076 ,,-44%,-20.710 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,n/a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,#REF!,,,#ERROR!,,,,,,
